"filename", "language", "XML", "JavaScript", "CSS", "JSON", "Markdown", "JavaScript React", "HTML", "Python", "comment", "blank", "total"
"/Users/debraj/Desktop/BookSelling/client/src/services/API.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/debraj/Desktop/BookSelling/client/src/services/authorization.jsx", "JavaScript React", 0, 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"/Users/debraj/Desktop/BookSelling/client/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/debraj/Desktop/BookSelling/client/src/styles/CheckoutForm.css", "CSS", 0, 0, 54, 0, 0, 0, 0, 0, 2, 11, 67
"/Users/debraj/Desktop/BookSelling/client/src/styles/Orders.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/debraj/Desktop/BookSelling/client/src/styles/PostedBooks.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/debraj/Desktop/BookSelling/client/src/styles/cart.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/debraj/Desktop/BookSelling/client/src/styles/cartTogle.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 0, 4, 1, 25
"/Users/debraj/Desktop/BookSelling/client/src/styles/footer.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/debraj/Desktop/BookSelling/client/src/styles/header.css", "CSS", 0, 0, 121, 0, 0, 0, 0, 0, 0, 13, 134
"/Users/debraj/Desktop/BookSelling/client/src/styles/home.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/debraj/Desktop/BookSelling/client/src/styles/navigation.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/debraj/Desktop/BookSelling/client/src/styles/productCategory.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/debraj/Desktop/BookSelling/client/src/styles/productpage.css", "CSS", 0, 0, 93, 0, 0, 0, 0, 0, 0, 10, 103
"/Users/debraj/Desktop/BookSelling/client/src/styles/sellbook.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/debraj/Desktop/BookSelling/client/src/styles/signin.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/debraj/Desktop/BookSelling/client/src/styles/signout.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/debraj/Desktop/BookSelling/client/src/styles/signup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/client/src/styles/star.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/debraj/Desktop/BookSelling/server/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/book/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/book/admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 6
"/Users/debraj/Desktop/BookSelling/server/book/apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 24, 1, 7, 32
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0002_remove_book_user_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 6, 18
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0003_book_user_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 15, 1, 6, 22
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0004_alter_book_user_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 14, 1, 6, 21
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0005_book_book_img_book_seller_rating.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 1, 6, 24
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0006_alter_book_seller_rating.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0007_book_book_rating_book_date_time.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 1, 6, 24
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0008_remove_book_seller_rating.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 6, 18
"/Users/debraj/Desktop/BookSelling/server/book/migrations/0009_alter_book_user_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
"/Users/debraj/Desktop/BookSelling/server/book/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/book/models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 18, 1, 4, 23
"/Users/debraj/Desktop/BookSelling/server/book/serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"/Users/debraj/Desktop/BookSelling/server/book/tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4
"/Users/debraj/Desktop/BookSelling/server/book/url.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"/Users/debraj/Desktop/BookSelling/server/book/views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 159, 13, 21, 193
"/Users/debraj/Desktop/BookSelling/server/cart/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/debraj/Desktop/BookSelling/server/cart/admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 1, 2, 6
"/Users/debraj/Desktop/BookSelling/server/cart/apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 18, 1, 7, 26
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0002_remove_cart_data_user_id_alter_cart_data_book_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 16, 1, 6, 23
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0003_cart_data_user_id.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 1, 6, 20
"/Users/debraj/Desktop/BookSelling/server/cart/migrations/0004_cart_data_quantity.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 6, 19
